Device,Stirrer J-KEM
Label,MAIN-STR
Calibration A,1
Calibration B,0
Start time,0
Time (min),Stirrer speed (RPM)
0.06,350
5.04,350
5.1,350
8.3151893939394,350
8.31618939393939,350
8.37718939393939,350
8.39385606060606,350
8.39485606060606,350
14.3948560606061,350
14.4548560606061,350
36.954856060606,350
37.5548560606061,350
67.5548560606061,350
67.6148560606061,350
67.6748560606061,350
68.0509673368273,350
68.0519673368273,350
68.1129673368273,350
68.1296340034939,350
68.1306340034939,350
98.1306340034939,350
98.1906340034939,350
356.790634003494,350
356.850634003494,350
362.850634003494,350
362.910634003494,350
482.910634003494,350
488.910634003494,350
488.970634003494,350
608.970634003494,350
609.030634003494,350
609.090634003494,350
609.150634003494,350
609.210634003494,350
609.270634003494,350
609.330634003494,350
609.390634003493,350
669.390634003493,350
