Device,Stirrer J-KEM|P03
Label,SOLUTION-STIR
Calibration A,1
Calibration B,0
Start time,0
Time (min),Stirrer speed (RPM)
0.06,200
5.04,200
5.1,200
8.3151893939394,200
8.31618939393939,200
8.37718939393939,200
8.39385606060606,200
8.39485606060606,200
14.3948560606061,200
14.4548560606061,200
36.954856060606,200
37.5548560606061,200
67.5548560606061,200
67.6148560606061,200
67.6748560606061,200
68.0509673368273,200
68.0519673368273,200
68.1129673368273,200
68.1296340034939,200
68.1306340034939,200
98.1306340034939,200
98.1906340034939,200
356.790634003494,200
356.850634003494,200
362.850634003494,200
362.910634003494,200
482.910634003494,200
488.910634003494,200
488.970634003494,200
608.970634003494,200
609.030634003494,200
609.090634003494,200
609.150634003494,200
609.210634003494,200
609.270634003494,200
609.330634003494,200
609.390634003493,200
669.390634003493,200
