"","temperature_main","temperature_main","ASPump","FBRM","L50","L90","L10","W10","W50","W90","stirrer_main","SOLUPump","SOLVPump","SeedPump","Scale","CLEPump","Valve_position","stirrer_seed","stirrer_solution","CED10","CED50","CED90"
Time,H01:External T,H01:T Setpt,File  W: AS flow ,OPC R: Counts ,OPC R: L50 ,OPC R: L90 ,OPC R: L10 ,OPC R: W10 ,OPC R: W50 ,OPC R: W90 ,S01:Stirrer speed  (Setpt),P02:Pump speed  (Setpt),P01:Pump speed  (Setpt),P03:Pump speed  (Setpt),File R: AS Scale ,P04:Pump speed  (Setpt),File  W: Valve state,S02:Stirrer speed  (Setpt),S03:Stirrer speed  (Setpt),OPC R: CED10 micron,OPC R: CED50 micron,OPC R: CED90 micron
min,C,C,RPM,Counts,micron,micron,micron,micron,micron,micron,RPM,RPM,RPM,RPM,g,RPM,,RPM,RPM,,,
0.059,19.990,20.000,0.000,1582.917,3.304,22.258,1.273,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.273,3.245,8.084
0.168,19.980,20.000,0.000,1582.917,3.304,22.258,1.273,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.273,3.245,8.084
0.254,19.980,20.000,0.000,1582.917,3.304,22.258,1.273,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.273,3.245,8.084
0.339,19.990,20.000,0.000,1355.357,3.304,22.258,1.273,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.273,3.245,8.084
0.426,19.990,20.000,0.000,889.577,3.304,22.258,1.273,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.273,3.245,8.084
0.515,19.990,20.000,0.000,889.577,3.304,22.258,1.273,0.862,1.808,3.113,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.273,3.245,8.084
0.600,19.990,20.000,0.000,1043.096,12.010,23.147,1.340,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.340,4.410,8.544
0.686,20.000,20.000,0.000,1043.096,12.010,23.147,1.340,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.340,4.410,8.544
0.771,20.000,20.000,0.000,884.922,12.010,23.147,1.340,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.340,4.410,8.544
0.856,20.000,20.000,0.000,884.922,12.010,23.147,1.340,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.340,4.410,8.544
0.944,20.000,20.000,0.000,1068.786,12.010,23.147,1.340,0.861,1.808,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.340,4.410,8.544
1.319,20.020,20.000,0.000,1023.672,13.250,23.610,1.413,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.413,4.964,8.817
1.411,20.030,20.000,0.000,943.894,13.250,23.610,1.413,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.413,4.964,8.817
1.500,20.020,20.000,0.000,943.894,13.250,23.610,1.413,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.413,4.964,8.817
1.585,20.030,20.000,0.000,1163.532,13.030,23.502,1.399,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.399,4.723,8.597
1.672,20.030,20.000,0.000,1163.532,13.030,23.502,1.399,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.399,4.723,8.597
1.758,20.040,20.000,0.000,1134.044,13.030,23.502,1.399,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.399,4.723,8.597
1.844,20.040,20.000,0.000,1134.044,13.030,23.502,1.399,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.399,4.723,8.597
1.929,20.040,20.000,0.000,1125.710,13.030,23.502,1.399,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.399,4.723,8.597
2.014,20.050,20.000,0.000,1125.710,13.030,23.502,1.399,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.399,4.723,8.597
2.101,20.040,20.000,0.000,1186.177,13.553,23.727,1.436,0.860,1.807,3.111,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.436,4.945,8.728
2.192,20.050,20.000,0.000,1186.177,13.553,23.727,1.436,0.860,1.807,3.111,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.436,4.945,8.728
2.284,20.050,20.000,0.000,1189.244,13.553,23.727,1.436,0.860,1.807,3.111,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.436,4.945,8.728
2.376,20.060,20.000,0.000,1189.244,13.553,23.727,1.436,0.860,1.807,3.111,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.436,4.945,8.728
2.467,20.060,20.000,0.000,1131.238,13.553,23.727,1.436,0.860,1.807,3.111,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.436,4.945,8.728
2.559,20.060,20.000,0.000,1131.238,13.553,23.727,1.436,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.421,4.752,8.545
2.652,20.060,20.000,0.000,1239.270,13.327,23.600,1.421,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.421,4.752,8.545
2.744,20.060,20.000,0.000,1239.270,13.327,23.600,1.421,0.860,1.807,3.112,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.421,4.752,8.545
