,,Mass
Time,File  W: AS ,File R: Mass 
min,rpm,g
0.016,0.5,1284.1
0.05,0.5,1284.1
0.083,0.5,1284
0.117,0.5,1284
0.15,0.5,1284
0.183,0.5,1284
0.216,0.5,1284
0.25,0.5,1284
0.283,0.5,1284.1
0.317,0.5,1284
0.35,0.5,1284
0.383,0.5,1284
0.417,0.5,1284.1
0.55,0.5,1284
0.583,0.5,1284
0.617,0.5,1284
0.65,0.5,1284
0.683,0.5,1284
0.716,0.5,1284
0.75,0.5,1284
0.783,0.5,1284
0.817,0.5,1284
0.85,0.5,1284
0.883,0.5,1284
0.916,0.5,1284
0.95,0.5,1284
0.983,0.5,1284
1.016,0.5,1284
1.05,0.5,1284
1.083,0.5,1284
1.117,0.5,1284
1.15,0.5,1284
1.183,0.5,1284
1.216,0.5,1284
1.25,0.5,1284
1.283,0.5,1284
1.317,0.5,1284
1.35,0.5,1283.9
1.383,0.5,1284
1.417,0.5,1284
1.45,0.5,1283.9
1.483,0.5,1283.9
1.517,0.5,1283.9
1.55,0.5,1283.9
1.583,0.5,1283.9
1.617,0.5,1283.9
1.65,0.5,1283.9
1.683,0.5,1283.9
1.717,0.5,1283.9
1.75,0.5,1283.9
1.783,0.5,1283.9
1.817,0.5,1283.9
1.85,0.5,1283.9
1.883,0.5,1283.9
1.917,0.5,1283.9
1.95,0.5,1283.9
1.983,0.5,1283.8
2.017,0.5,1283.8
2.05,0.5,1283.8
2.083,0.5,1283.8
2.116,0.5,1283.8
2.15,0.5,1283.8
2.183,0.5,1283.8
2.217,0.5,1283.8
2.25,0.5,1283.8
2.283,0.5,1283.8
2.316,0.5,1283.8
2.35,0.5,1283.8
2.383,0.5,1283.8
2.416,0.5,1283.8
2.45,0.5,1283.8
2.483,0.5,1283.8
2.516,0.5,1283.8
2.55,0.5,1283.7
2.583,0.5,1283.7
2.616,0.5,1283.8
2.65,0.5,1283.8
2.683,0.5,1283.8
2.717,0.5,1283.7
2.75,0.5,1283.8
2.783,0.5,1283.8
2.817,0.5,1283.7
2.85,0.5,1283.7
2.883,0.5,1283.7
2.917,0.5,1283.7
2.95,0.5,1283.7
2.983,0.5,1283.7
3.016,0.5,1283.8
3.05,0.5,1283.7
3.083,0.5,1283.7
3.117,0.5,1283.8
3.15,0.5,1283.7
3.183,0.5,1283.7
3.217,0.5,1283.8
3.25,0.5,1283.8
3.283,0.5,1283.7
3.317,0.5,1283.7
3.35,0.5,1283.7
3.383,0.5,1283.7
3.417,0.5,1283.7
3.45,0.5,1283.7
3.483,0.5,1283.7
3.517,0.5,1283.7
3.55,0.5,1283.7
3.583,0.5,1283.7
3.617,0.5,1283.7
3.65,0.5,1283.7
3.683,0.5,1283.7
3.717,0.5,1283.7
3.75,0.5,1283.7
3.783,0.5,1283.7
3.817,0.5,1283.6
3.85,0.5,1283.6
3.883,0.5,1283.7
3.917,0.5,1283.7
3.95,0.5,1283.7
3.983,0.5,1283.7
4.017,0.5,1283.6
4.05,0.5,1283.6
4.083,0.5,1283.6
4.117,0.5,1283.7
4.15,0.5,1283.7
4.183,0.5,1283.6
4.217,0.5,1283.6
4.25,0.5,1283.6
4.283,0.5,1283.6
4.317,0.5,0
4.35,0.5,1283.6
4.383,0.5,1283.7
4.417,0.5,1283.7
4.45,0.5,1283.7
4.483,0.5,1283.6
4.517,0.5,1283.6
4.55,0.5,1283.6
4.583,0.5,1283.6
4.617,0.5,1283.6
4.65,0.5,1283.6
4.683,0.5,1283.6
4.717,0.5,1283.6
4.75,0.5,1283.6
4.783,0.5,1283.6
4.817,0.5,1283.6
4.85,0.5,1283.6
4.883,0.5,1283.6
4.917,0.5,1283.6
4.95,0.5,1283.6
4.983,0.5,1283.6
5.017,0.5,1283.6
5.05,0.5,1283.5
5.083,0.5,1283.6
5.117,0.5,1283.6
5.15,0.5,1283.5
5.183,0.5,1283.6
5.217,0.5,1283.6
5.25,0.5,1283.5
5.283,0.5,1283.5
5.317,0.5,1283.5
5.35,0.5,1283.5
5.383,0.5,1283.5
5.417,0.5,1283.5
5.45,0.5,1283.5
5.483,0.5,1283.5
5.517,0.5,1283.5
5.55,0.5,1283.5
5.583,0.5,1283.5
5.617,0.5,1283.5
5.65,0.5,1283.5
5.683,0.5,1283.5
5.717,0.5,1283.5
5.75,0.5,1283.5
5.783,0.5,1283.5
5.817,0.5,1283.5
5.85,0.5,1283.4
5.883,0.5,1283.4
5.917,0.5,1283.4
5.95,0.5,1283.5
5.983,0.5,1283.5
6.017,0.5,1283.5
6.05,0.5,1283.4
6.083,0.5,1283.4
6.117,0.5,1283.4
6.15,0.5,1283.5
6.183,0.5,1283.5
6.217,0.5,1283.5
6.25,0.5,1283.5
6.283,0.5,1283.5
6.317,0.5,1283.4
6.35,0.5,1283.4
6.383,0.5,1283.4
6.417,0.5,1283.4
6.45,0.5,1283.4
6.483,0.5,1283.4
6.517,0.5,1283.4
6.55,0.5,1283.4
6.583,0.5,1283.4
6.617,0.5,1283.4
6.65,0.5,1283.4
6.683,0.5,1283.4
6.717,0.5,1283.4
6.75,0.5,1283.4
6.783,0.5,1283.4
6.817,0.5,1283.4
6.85,0.5,1283.4
6.883,0.5,1283.3
6.917,0.5,1283.4
6.95,0.5,1283.4
6.983,0.5,1283.4
7.017,0.5,1283.3
7.05,0.5,1283.3
7.083,0.5,1283.3
7.117,0.5,1283.4
7.15,0.5,1283.4
7.183,0.5,1283.3
7.217,0.5,1283.3
7.25,0.5,1283.3
7.283,0.5,1283.3
7.317,0.5,1283.3
7.35,0.5,1283.3
7.383,0.5,1283.3
7.417,0.5,1283.3
7.45,0.5,1283.3
7.483,0.5,1283.3
7.517,0.5,1283.2
7.55,0.5,1283.2
7.583,0.5,1283.3
7.617,0.5,1283.3
7.65,0.5,1283.3
7.683,0.5,1283.3
7.717,0.5,1283.3
7.75,0.5,1283.3
7.784,0.5,1283.2
7.817,0.5,1283.2
7.85,0.5,1283.3
7.883,0.5,1283.2
7.917,0.5,1283.2
7.95,0.5,1283.2
7.983,0.5,1283.2
8.017,0.5,1283.2
8.05,0.5,1283.2
8.084,0.5,1283.2
8.117,0.5,1283.2
8.15,0.5,1283.3
8.183,0.5,1283.2
8.217,0.5,1283.2
8.25,0.5,1283.2
8.284,0.5,1283.2
8.317,0.5,1283.2
8.35,0.5,1283.2
8.384,0.5,1283.2
8.417,0.5,1283.2
8.45,0.5,1283.2
8.483,0.5,1283.2
8.517,0.5,1283.2
8.55,0.5,1283.2
8.584,0.5,1283.1
8.617,0.5,1283.1
8.65,0.5,1283.2
8.684,0.5,1283.2
8.717,0.5,1283.2
8.75,0.5,1283.1
8.783,0.5,1283.1
8.817,0.5,1283.1
8.85,0.5,1283.2
8.884,0.5,1283.2
8.917,0.5,1283.2
8.95,0.5,1283.2
8.983,0.5,1283.2
9.017,0.5,1283.1
9.05,0.5,1283.1
9.083,0.5,1283.1
9.117,0.5,1283.1
9.15,0.5,1283.1
9.183,0.5,1283.1
9.217,0.5,1283.1
9.25,0.5,1283.1
9.283,0.5,1283.1
9.317,0.5,1283.1
9.35,0.5,1283.1
9.383,0.5,1283.1
9.417,0.5,1283.1
9.45,0.5,1283.1
9.483,0.5,1283.1
9.517,0.5,1283
9.55,0.5,1283.1
9.584,0.5,1283.1
9.617,0.5,1283
9.65,0.5,1283
9.683,0.5,1283
9.717,0.5,1283
9.75,0.5,1283
9.784,0.5,1283
9.817,0.5,1283.1
9.85,0.5,1283.1
9.883,0.5,1283
9.917,0.5,1283.1
9.95,0.5,1283.1
9.983,0.5,1283
10.017,0.5,1283
