,SOLUTION_PUMP,Mass,,,,
Time,P01:Value (Setpt),File R: Mass ,,,,
min,,g,,,,
0.03,20,553.9,,,,
0.063,20,553.5,,,,
0.097,20,552.2,,,,
0.13,20,552.2,,,,
0.163,20,552.7,,,,
0.197,20,552.6,,,,
0.23,20,552.6,,,,
0.263,20,553.7,,,,
0.297,20,555.6,,,,
0.33,20,555.6,,,,
0.363,20,557.1,,,,
0.397,20,558.7,,,,
0.43,20,558.7,,,,
0.463,20,561.7,,,,
0.497,20,562.6,,,,
0.53,20,562.6,,,,
0.563,20,564.3,,,,
0.597,20,566,,,,
0.63,20,566,,,,
0.663,20,568.3,,,,
0.697,20,569.8,,,,
0.73,20,569.8,,,,
0.763,20,571.3,,,,
0.797,20,571.3,,,,
0.83,20,573.3,,,,
0.863,20,574.7,,,,
0.897,20,574.7,,,,
0.93,20,576.5,,,,
0.963,20,578.2,,,,
0.997,20,578.2,,,,
1.03,20,579.7,,,,
1.063,20,581.6,,,,
1.097,20,581.6,,,,
1.13,20,583.5,,,,
1.163,20,585.1,,,,
1.197,20,585.1,,,,
1.23,20,586.7,,,,
1.263,20,588.5,,,,
1.297,20,588.5,,,,
1.33,20,590.2,,,,
1.363,20,592.3,,,,
1.397,20,592.3,,,,
1.43,20,593.8,,,,
1.464,20,596.3,,,,
1.497,20,596.3,,,,
1.53,20,597.1,,,,
1.564,20,599.7,,,,
1.597,20,599.7,,,,
1.63,20,600.5,,,,
1.664,20,602.9,,,,
1.697,20,602.9,,,,
1.73,20,604.2,,,,
1.764,20,606.2,,,,
1.797,20,606.2,,,,
1.83,20,607.8,,,,
1.864,20,609.4,,,,
1.897,20,609.4,,,,
1.93,20,611,,,,
1.964,20,612.6,,,,
1.997,20,612.6,1.967,0,58.7,1790.543976
2.03,0,614.2,,,,
2.064,0,614.2,,,,
2.097,0,615.9,,,,
2.13,0,616.1,,,,
2.164,0,616.1,,,,
2.197,0,616.2,,,,
2.23,0,616.3,,,,
2.264,0,616.3,,,,
2.297,0,616.3,,,,
2.33,0,616.3,,,,
2.364,0,616.3,,,,
2.397,0,616.4,,,,
2.43,0,616.4,,,,
2.464,0,616.4,,,,
2.497,0,616.5,,,,
2.53,0,616.5,,,,
2.564,0,616.5,,,,
2.597,0,616.5,,,,
2.63,0,616.6,,,,
2.664,0,616.6,,,,
2.697,0,616.7,,,,
2.73,0,616.7,,,,
2.764,0,616.7,,,,
2.797,0,616.7,,,,
2.83,0,616.7,,,,
2.864,0,616.7,,,,
2.897,0,616.7,,,,
2.93,0,616.8,,,,
2.964,0,616.8,,,,
2.997,0,616.8,,,,
3.03,50,616.9,,,,
3.064,50,616.9,,,,
3.097,50,617.3,,,,
3.13,50,620.1,,,,
3.164,50,620.1,,,,
3.197,50,623.1,,,,
3.23,50,626.1,,,,
3.264,50,626.1,,,,
3.297,50,628.7,,,,
3.33,50,628.7,,,,
3.364,50,631.1,,,,
3.397,50,634.1,,,,
3.43,50,634.1,,,,
3.464,50,637,,,,
3.497,50,641.4,,,,
3.53,50,641.4,,,,
3.564,50,645.1,,,,
3.597,50,649.7,,,,
3.63,50,649.7,,,,
3.664,50,653.7,,,,
3.697,50,657.6,,,,
3.73,50,657.6,,,,
3.764,50,661.8,,,,
3.797,50,666,,,,
3.83,50,666,,,,
3.864,50,670.3,,,,
3.897,50,674.7,,,,
3.93,50,674.7,,,,
3.964,50,678.7,,,,
3.997,50,683.1,,,,
4.03,50,683.1,,,,
4.064,50,687.3,,,,
4.097,50,691.3,,,,
4.13,50,691.3,,,,
4.164,50,695.5,,,,
4.197,50,699.9,,,,
4.23,50,699.9,,,,
4.264,50,703.6,,,,
4.297,50,708,,,,
4.33,50,708,,,,
4.364,50,712.5,,,,
4.397,50,716.4,,,,
4.43,50,716.4,,,,
4.464,50,720.9,,,,
4.497,50,724.4,,,,
4.53,50,724.4,,,,
4.564,50,728.6,,,,
4.597,50,732.9,,,,
4.63,50,732.9,,,,
4.664,50,737,,,,
4.697,50,737,,,,
4.73,50,741,,,,
4.764,50,745.3,,,,
4.797,50,745.3,,,,
4.83,50,749.4,,,,
4.864,50,754.1,,,,
4.897,50,754.1,,,,
4.93,50,758,,,,
4.964,50,762.1,,,,
4.997,50,762.1,1.967,0,145.2,4429.079817
5.03,0,766.1,,,,
5.064,0,769.7,,,,
5.097,0,769.7,,,,
5.13,0,769.7,,,,
5.164,0,769.7,,,,
5.197,0,769.7,,,,
5.23,0,769.7,,,,
5.264,0,769.6,,,,
5.297,0,769.6,,,,
5.33,0,769.6,,,,
5.364,0,769.5,,,,
5.397,0,769.5,,,,
5.43,0,769.5,,,,
5.464,0,769.5,,,,
5.497,0,769.5,,,,
5.53,0,769.5,,,,
5.564,0,769.5,,,,
5.597,0,769.5,,,,
5.63,0,769.5,,,,
5.664,0,769.4,,,,
5.697,0,769.4,,,,
5.73,0,769.4,,,,
5.764,0,769.4,,,,
5.797,0,769.4,,,,
5.83,0,769.4,,,,
5.864,0,769.4,,,,
5.897,0,769.4,,,,
5.93,0,769.4,,,,
5.964,0,769.4,,,,
5.997,0,769.3,,,,
6.03,0,769.3,,,,
6.064,70,769.3,,,,
6.097,70,769.7,,,,
6.13,70,775,,,,
6.164,70,775,,,,
6.197,70,781.1,,,,
6.23,70,786.9,,,,
6.264,70,786.9,,,,
6.297,70,792,,,,
6.33,70,798,,,,
6.364,70,798,,,,
6.397,70,803.8,,,,
6.43,70,809.5,,,,
6.464,70,809.5,,,,
6.497,70,815.2,,,,
6.53,70,821.2,,,,
6.564,70,821.2,,,,
6.597,70,827,,,,
6.63,70,832.1,,,,
6.664,70,832.1,,,,
6.697,70,838.3,,,,
6.73,70,843.9,,,,
6.764,70,843.9,,,,
6.797,70,849.9,,,,
6.83,70,855.9,,,,
6.864,70,855.9,,,,
6.897,70,861.8,,,,
6.93,70,867.2,,,,
6.964,70,867.2,,,,
6.997,70,873.4,,,,
7.03,70,879,,,,
7.064,70,879,,,,
7.097,70,884.6,,,,
7.13,70,891,,,,
7.164,70,891,,,,
7.197,70,896.4,,,,
7.23,70,896.4,,,,
7.264,70,902.6,,,,
7.297,70,908.2,,,,
7.33,70,908.2,,,,
7.364,70,914.2,,,,
7.397,70,919.9,,,,
7.43,70,919.9,,,,
7.464,70,926.1,,,,
7.497,70,931.5,,,,
7.53,70,931.5,,,,
7.564,70,937.5,,,,
7.597,70,943.1,,,,
7.63,70,943.1,,,,
7.664,70,949.5,,,,
7.697,70,955.3,,,,
7.73,70,955.3,,,,
7.764,70,960.9,,,,
7.797,70,966.5,,,,
7.83,70,966.5,,,,
7.864,70,972.8,,,,
7.897,70,978.5,,,,
7.93,70,978.5,,,,
7.964,70,984.1,,,,
7.997,70,990.4,,,,
8.03,70,990.4,1.966,0,221.1,6747.711089
8.064,0,996,,,,
8.097,0,999.8,,,,
8.13,0,999.8,,,,
8.164,0,999.8,,,,
8.197,0,999.8,,,,
8.23,0,999.8,,,,
8.264,0,999.9,,,,
8.297,0,999.9,,,,
8.33,0,999.9,,,,
8.364,0,999.9,,,,
8.397,0,1000,,,,
8.43,0,1000,,,,
8.464,0,1000,,,,
8.497,0,1000,,,,
8.53,0,1000,,,,
8.564,0,999.9,,,,
8.597,0,999.9,,,,
8.63,0,999.9,,,,
8.664,0,1000,,,,
8.697,0,1000,,,,
8.73,0,1000,,,,
8.764,0,1000,,,,
8.797,0,1000,,,,
8.83,0,1000,,,,
8.864,0,1000,,,,
8.897,0,1000,,,,
8.93,0,1000,,,,
8.964,0,1000,,,,
8.997,0,1000,,,,
9.03,0,1000,,,,
9.064,100,1000,,,,
9.097,100,1000,,,,
9.13,100,1006,,,,
9.164,100,1013.9,,,,
9.197,100,1013.9,,,,
9.23,100,1022.3,,,,
9.264,100,1027.1,,,,
9.297,100,1027.1,,,,
9.33,100,1029.1,,,,
