,Solvent_PUMP,Mass
Time,P01:Value (Setpt),File R: Mass 
min,,g
0.029,20,566.2
0.063,20,569.8
0.096,20,566.1
0.129,20,566.1
0.163,20,566.4
0.196,20,566.4
0.229,20,566.4
0.263,20,566.4
0.296,20,566.4
0.329,20,567.7
0.363,20,569.3
0.396,20,569.3
0.429,20,570.8
0.463,20,572.1
0.496,20,572.1
0.529,20,572.5
0.563,20,574.8
0.596,20,574.8
0.629,20,576.1
0.663,20,577.7
0.696,20,577.7
0.729,20,580.1
0.763,20,581.3
0.796,20,581.3
0.829,20,583.4
0.863,20,584.6
0.896,20,584.6
0.929,20,585.9
0.963,20,587.2
0.996,20,587.2
1.029,20,589
1.063,20,592
1.096,20,592
1.129,20,594.3
1.163,20,596.4
1.196,20,596.4
1.229,20,597.2
1.263,20,598.9
1.296,20,598.9
1.329,20,600.5
1.363,20,602.2
1.396,20,602.2
1.429,20,603.7
1.463,20,604.9
1.496,20,604.9
1.529,20,606.4
1.563,20,606.4
1.596,20,607.7
1.629,20,609.4
1.663,20,609.4
1.696,20,611.4
1.729,20,613.6
1.763,20,613.6
1.796,20,614
1.829,20,615.8
1.863,20,615.8
1.896,20,617.8
1.929,20,619.9
1.963,20,619.9
1.996,20,623.7
2.029,0,626.6
2.063,0,626.6
2.096,0,623.4
2.129,0,623.6
2.163,0,623.6
2.196,0,623.7
2.229,0,624.1
2.263,0,624.1
2.296,0,624.8
2.329,0,624.8
2.363,0,624.8
2.396,0,627.6
2.429,0,627.5
2.463,0,627.5
2.496,0,627.4
2.529,0,627.4
2.563,0,627.4
2.596,0,627.4
2.629,0,627.4
2.663,0,627.4
2.696,0,627.4
2.729,0,627.4
2.763,0,627.4
2.796,0,627.4
2.829,0,627.4
2.863,0,627.4
2.896,0,627.4
2.929,0,627.4
2.963,0,627.4
2.996,0,627.4
3.029,50,627.4
3.063,50,627.4
3.096,50,627.8
3.129,50,627.8
3.163,50,631.3
3.196,50,634.7
3.229,50,634.7
3.263,50,639
3.296,50,643
3.33,50,643
3.363,50,647.4
3.396,50,651.4
3.43,50,651.4
3.463,50,655.9
3.496,50,659.8
3.53,50,659.8
3.563,50,664.3
3.596,50,668.4
3.63,50,668.4
3.663,50,672.7
3.696,50,676.9
3.73,50,676.9
3.763,50,681.2
3.796,50,686
3.83,50,686
3.863,50,689.6
3.896,50,694.3
3.93,50,694.3
3.963,50,698
3.996,50,702.7
4.03,50,702.7
4.063,50,706.5
4.096,50,711.5
4.13,50,711.5
4.163,50,714.9
4.196,50,714.9
4.23,50,719.8
4.263,50,723.8
4.296,50,723.8
4.33,50,728.1
4.363,50,733.7
4.396,50,733.7
4.43,50,736.6
4.463,50,741.9
4.496,50,741.9
4.53,50,745.5
4.563,50,749.7
4.596,50,749.7
4.63,50,753.5
4.663,50,757.8
4.696,50,757.8
4.73,50,762.1
4.763,50,766.3
4.796,50,766.3
4.83,50,771.1
4.863,50,775.2
4.896,50,775.2
4.93,50,779.9
4.963,50,784
4.996,50,784
5.03,1.156,788.3
5.063,0,788.8
5.096,0,788.8
5.13,0,788.9
5.163,0,788.9
5.196,0,788.9
5.23,0,789
5.263,0,789
5.296,0,789
5.33,0,789.1
5.363,0,789.2
5.396,0,789.2
5.43,0,789.2
5.463,0,789.2
5.497,0,789.3
5.53,0,789.4
5.563,0,789.4
5.597,0,789.4
5.63,0,789.5
5.663,0,789.5
5.697,0,789.5
5.73,0,789.5
5.763,0,789.5
5.797,0,789.6
5.83,0,789.7
5.863,0,789.7
5.897,0,789.7
5.93,0,789.8
5.963,0,789.8
5.997,0,789.8
6.03,0,789.8
6.063,70,789.8
6.097,70,789.9
6.13,70,796.5
6.163,70,796.5
6.197,70,802.2
6.23,70,807.8
6.263,70,807.8
6.297,70,813.9
6.33,70,819.8
6.363,70,819.8
6.397,70,825.7
6.43,70,831.8
6.463,70,831.8
6.497,70,837.2
6.53,70,843.7
6.563,70,843.7
6.597,70,849.1
6.63,70,855.2
6.663,70,855.2
6.697,70,862.1
6.73,70,867
6.763,70,867
6.797,70,872.6
6.83,70,872.6
6.863,70,879
6.897,70,884.6
6.93,70,884.6
6.963,70,890.7
6.997,70,896.9
7.03,70,896.9
7.063,70,902.4
7.097,70,908.8
7.13,70,908.8
7.163,70,914.3
7.197,70,920.4
7.23,70,920.4
7.263,70,927.3
7.297,70,932.2
7.33,70,932.2
7.363,70,937.8
7.397,70,944.2
7.43,70,944.2
7.463,70,949.7
7.497,70,956
7.53,70,956
7.563,70,962.1
7.597,70,967.6
7.63,70,967.6
7.663,70,974
7.697,70,979.5
7.73,70,979.5
7.763,70,985.6
7.797,70,992.5
7.83,70,992.5
7.863,70,997.4
7.897,70,1003
7.93,70,1003
7.963,70,1009.4
7.997,70,1015
8.03,70,1015
8.063,0,1021.2
8.097,0,1021.2
8.13,0,1022.8
8.163,0,1022.8
8.197,0,1022.8
8.23,0,1022.8
8.263,0,1022.8
8.297,0,1022.8
8.33,0,1022.8
8.363,0,1022.9
8.397,0,1022.9
8.43,0,1022.9
8.463,0,1022.9
8.497,0,1022.9
8.53,0,1022.9
8.563,0,1023
8.597,0,1023
8.63,0,1023
8.663,0,1023
8.697,0,1023
8.73,0,1023
8.763,0,1023
8.797,0,1023
8.83,0,1023.1
8.863,0,1023.1
8.897,0,1023.1
8.93,0,1023.1
8.963,0,1023.1
8.997,0,1023.1
9.03,0,1023.1
9.063,100,1023.1
9.097,100,1023.1
9.13,100,1031.1
9.163,100,1038.9
9.197,100,1038.9
9.23,100,1047.6
9.263,100,1055.7
9.297,100,1055.7
9.33,100,1062.4
9.363,100,1062.4
9.397,100,1066.5
9.43,100,1068
9.463,100,1068
9.497,100,1068.7
9.53,100,1068.8
9.563,100,1068.8
9.597,100,1068.8
9.63,100,1068.8
9.663,100,1068.8
9.697,100,1068.8
9.73,100,1068.8
9.763,100,1068.8
9.797,100,1068.8
9.83,100,1068.8
9.863,100,1068.8
9.897,100,1068.8
9.93,100,1068.8
9.963,100,1068.8
9.997,100,1068.8
10.03,100,1068.9
10.063,100,1068.9
10.097,100,1068.9
10.13,100,1068.9
10.163,100,1068.9
10.197,100,1068.9
10.23,100,1068.9
10.263,100,1068.9
10.297,100,1068.9
10.33,100,1068.9
10.363,100,1068.9
10.397,100,1068.9
10.43,100,1068.9
10.463,100,1068.9
10.497,100,1068.9
10.53,100,1068.9
10.563,100,1068.9
10.597,100,1068.9
10.63,100,1068.9
10.663,100,1068.9
10.697,100,1068.9
10.73,100,1068.9
10.763,100,1068.9
10.797,100,1068.9
10.83,100,1068.9
10.863,100,1068.9
10.897,100,1068.9
10.93,100,1068.9
10.963,100,1068.9
10.997,100,1068.9
11.03,100,1068.9
11.063,67.651,1068.9
11.097,0,1068.9
11.13,0,1068.9
11.163,0,1067.7
11.197,0,1067.6
11.23,0,1067.6
11.263,0,1067.6
11.297,0,1067.6
11.33,0,1067.6
11.363,0,1067.6
11.397,0,1067.6
11.43,0,1067.6
11.463,0,1067.6
11.497,0,1067.6
11.53,0,1067.6
11.563,0,1067.6
11.597,0,1067.6
11.63,0,1067.6
11.663,0,1067.6
11.697,0,1067.6
11.73,0,1067.6
11.763,0,1067.6
11.797,0,1067.6
11.83,0,1067.6
11.863,0,1067.6
11.897,0,1067.6
11.93,0,1067.6
11.963,0,1067.6
11.997,0,1067.6
12.03,0,1067.6
12.063,0,1067.6
12.097,0,1067.6
12.13,0,1067.6
12.163,0,1067.6
12.197,0,1067.6
12.23,0,1067.6
12.263,0,1067.6
12.297,0,1067.6
12.33,0,1067.6
12.363,0,1067.6
12.397,0,1067.6
12.43,0,1067.6
12.463,0,1067.6
12.497,0,1067.6
12.53,0,1067.6
12.563,0,1067.6
12.597,0,1067.6
12.63,0,1067.7
12.663,0,1067.6
12.697,0,1067.6
12.73,0,1067.6
12.763,0,1067.6
